,account_name,user_name,followed,s_follow,s_follow2
52,セルケト｜Serket,d9SWajBi,"2023/03/8,TukitoRyu1,2022/12/3,MA1YU5MI,2022/10/31,hitsuji_photos,2022/8/8,hoikude0874,2022/7/14,mocchiyinc",MayuTepe,yu_invester
53,サテト女神,satisgoddess,"2022/12/8,shikigami_h,2022/10/31,co_sodatte_biz,2022/8/24,OneMoreChoice_,2022/8/9,kiiroitori2014,2022/7/30,hitori_seikou,multi_inari",zatsukuriwakaru,yulangtal
54,ケプリ神,Kheprigod417,"2023/03/11,shibasaki_art,2023/03/6,Drmiidr,2/24,maccya_book,2/20,uranai_sasoriza,2022/11/28,adafklpp",hitosimasuhiro,akohodge
55,巫女るか〜無償ヒーリング,Priestessiruka,"2022/11/28,photomappi,2022/11/3,onna_sennin,2022/7/29,ubokataFLF",kizuna_ch,utatane_nemui_
56,宇宙人プリオル,CosmosPrior,"2023/03/8,eito8eagle,2022/12/1,tyu_hanka,2022/9/6,jkbnx",CSKEx5eZhIN3qT3,
57,気功封入ページ(開運)@作成者→星団オメガ,Kaiun_Support,"2023/03/8,osushi365days",qpSk36g0u1zQ2Is,
58,宇宙人クルキス,CosmosKulkis111,"2023/03/8,matsuokamayu8",kuu_sumi,
59,女神の帰還ヒーリング 🐬 イルカ,megamiHealing89,"2023/03/7,kikubaribijindo,2/20,shakekanwel,2022/7/31,so_omori,angelontree",rascompany__,akpapa_family
60,宇宙人アルゴル,CosmosAlgol945,,ac4ljkd,hachimitsu2022
61,宇宙人ムフリッド,CosmosMuphrid,"2022/12/1,EriPureStar1212,2022/7/29,kotone7biyori",TSUBAKI90835866,magarin_niko
62,金星の賢人～五次元世界である霊界～,aNQD250mVHXx,"2023/03/7,masa_counselor",buddhist_japan,meiem326
63,ブルーレイスターシード／カルナ（慈悲、慈悲の行為）のエネルギーに繋がる,kaylapaulqwvy,"2022/9/21,fortuneapp123,empty_glass15,2022/7/22,crystalray7777",namutyan,mental_0815
64,宇宙人アル,CosmosAl289,"2023/03/3,alpha_thankyou,1/27,DangaiMisaki,2022/9/8,emmi__chan,2022/9/6,kantama3_112",ishi_ishishi,machiko_blog
65,宇宙人カェリー,cosmoskaley134,"2023/03/7,yukoegaomaker,2022/9/15,yukariATL",paranporon_,kusapooh
66,女神の帰還ヒーリング ✨ 🌹｜ イルカ 🐬,megamihealing,"2/16,Framboise_305,2022/12/29,yamotomahiro,2022/12/8,EQNWEjWWoYq0Gxk,2022/10/31,sanrin_hikiyose,2022/9/5,astrogeometry",mitsuya_0903,DJ_aoi
67,ブロック解放／多次元レベルでの解放ワーク,MaryjaneCrumf,,noravoxs,1952oyaji
68,宇宙人ピーコック,CosmosPekoc,"2023/03/7,kasegu_master",yoshihama_sp_ch,sin777_24
69,宇宙人カプリコルニ,CosmosCaprcorni,"2022/12/29,kOADXUbNAiDqBG5,2022/12/15,nao63013944,2022/10/31,nakato917725,2022/8/4,on_promethe",oyaji_yakiniku,yu_2005_0503
70,宇宙人ラムダ,CosmosLamda,"2022/7/28,anrimessage",tamon_farm,rairai_happy_
71,宇宙人ゼータ,CosmosZeta,"2022/8/8,maemuki_daisuki,2022/5/26,Ameria86922441,Naoto19751",hisurebahana_y,ShogoMiyauchi1
72,仙人～フォローでご利益〜RTで開運,CosmosProcyon55,"2023/03/7,masyumaro_ayuyu,2022/8/02,phinullempty",ringotouranai,Isseki3
73,絶対開運・अंधकार｜気功・ヒーリングnozomi💟,nozomi_heal_,"2023/03/8,Rsld3X2I47IF9Cs,2022/9/24,purumer91428023,2022/7/30,hajimenoippo_75,YUKEN4649",moraharahana,
74,マザーシップ覚醒特殊エネルギー〜自己構成エネルジーア自律知能化と生命素粒子,mrddbbam,"2023/03/7,mgb1717,2022/9/4,nonoko1515,2022/9/4,Sherpa_KamoYuki,2022/7/31,daisuke12w",2opHmazhbjjHvho,eiseibunko
75,宇宙人ナディ,CosmosNady,"2023/03/7,uru_happylife,2/28,As_above_So_me,2/2,yamapirokichi1,2022/12/30,HIKARI7774,2022/12/5,maiko378378,nurse_hal,2022/11/28,shippko,2022/11/22,mana319_TAKESHI,2022/6/9,mana319_TAKESHI",mamarin00,yuitarot
76,宇宙人イオタ,CosmosIota,"2022/12/12,suruganojii,2022/12/2,fuginomiyasama,suruganojii,2022/11/17,susajinjya,2022/11/14,sayako_shrine,2022/10/14,belpia6030,2022/7/27,NtHbwy0mAcn9T5b,omikucchan,yakumaru_kun",otochan_uranai,XblIijLk69IX7CE
77,宇宙人アルタイル,cosomosaltair,"2022/8/1,TakefumiKimura",takavet1,543life
78,宇宙人クルサ,CosmosCursa172,"2023/03/8,kiri__tsuki,2022/11/1,saori_shikisai,Bx7d8iqChNVia2b,alohalanipie_hi,2022/7/28,makomonosato",kimie31611,
79,宇宙人ユプシロン2,CosmosYupsiron,"2023/03/8,SatsukiLaw,2022/12/9,TETSU_aaa,2022/7/28,Junharu3361",life_note365,
80,宇宙人ポエニーキス,bot71731740,"2023/03/7,kirei_huukei184,2022/12/1,whatmovemyhear1,2022/5/26,whatmovemyhear1",hiyoshitaisha,YXUIRAIH
81,氣力の増幅／ソウルメイトやスピッリットとの繋がりを思い出す ・直観、感性の向上,SoulmatSpirit03,"2022/11/1,notetantan,2022/9/20,mei_traveller,2022/9/7,gosyuin_kana",Dgoutokuji,bozu_108
82,β-エンドルフィン活性化養成スクール／天才の脳波/記憶力ＵＰ/うつ病治療/老化を遅らせる/免疫細胞活,goldenage963,"2023/03/7,nanachan3168",isejingu125,mattya_melon
83,宇宙人ベルデライト,CosmosVeldelite,"2/28,mooboocock,2/3,shiraishi1taka",Kronos_ikemen,yutaka_account
84,宇宙人シェダル,CosmosShedal857,"2023/03/7,new_rakuen,2022/7/29,Kazu_Prayer,carol_since1971,Mojalaki",Tatarianaster_7,nagasakikanko
85,絶対開運・रात｜気功・ヒーリングmaya🌙,maya_heal_77,"2023/03/7,mj_yzf,",1059kanri,Yasuyukimatui
86,苫米地式コーチング｜無料相談サポートセンター,tomabecoach74,"2023/03/7,Y4aWi,2022/10/4,yonepi358",LzMIWkhf9GpDvJX,earn369
87,アトランティス封印解除とトラウマの癒し・能力開発,toprunner5577,"2/24,lito_leafart,2022/9/17,no_idea_akira_m",takeo8888,you_sns_eigyo
88,タウエレト｜Tawaret,Tawaret21a31,"2/20,3Bo6iY3pdLOHvMl,2022/8/2,ZPXg3De1KZP3O9g,2022/7/30,xrBY5gsRJXZEUh5",marke_advertise,arakihisako
89,宇宙人ムルジム,CosmosMuljim,"2023/03/7,InshokukenZen,2022/12/17,taromyoo,2022/12/13,nogijinja_miko,2022/12/1,iizuka_reibay,MoonCrusader,2022/11/28,supporter_heart,2022/8/18,mamys0528,140words_recipe,2022/8/9,mamys0528,2022/8/4,hiyori2020101,2022/7/14,9dUdCpuAqFwYAL",ochans17172525,kmotohiro
90,対異性的な魅力増強,H7dfUZfL,"2/24,raisusarada",Vn7rfILsHyD3gCu,tani_46_chr
91,宇宙人サドル,CosmosSadr258,"2023/03/8,Lookintothebox,2022/7/31,poo35466865",airi523ykf56,
92,イビス,ibis396,"2023/03/8,ReiTS14,2022/12/24,thistlebluemoon,2022/12/7,gosyuintaro,2022/10/24,hagi880,2022/10/19,mizuame__photo,2022/8/18,waonm07",oofunakannonji,
93,Brain IQ10兆エネルギー永久版。一生何度でも受け取れる,iq10trillion000,,onnajite,EZJapanese
94,宇宙人アルファ,CosmosAlpha283,,matsueri1,ashbrown1177
95,絶対開運・आकाश｜気功・ヒーリングaoi☄,aoi_heal_,"2023/03/7,JsVgjPCXsP2e3GR,2/28,blumen8783,2/10,kazu_free116,2022/12/8,koji_counselor,yusuke_urakami,2022/12/5,KAZUNAGOYA2,enge_konnan,2022/11/24,3moc6chiy9,2022/11/16,mai__freelance,2022/8/18,mk19900107,2022/7/30,cohiroooocohiro,mogumoguwwjk777,ifjXo6O0xE040ve",tapdepoipoi,kogaranatenpa_y
96,富の器／打出の小槌・富の扉プログラム,MTalont,"2022/9/18,mywordbasic,2022/9/15,WAVEOFLOVEFOR,2022/8/1,vKPo0VMsy1dLcqC,Yukky_2727,tamako_soku,",SH0124g,TheFlowRin
97,宇宙人ラヴ,cosmosloves131,"2023/03/7,memo5paper",hisuishimao,pua_sanji
98,宇宙人エラセド,bot63469043,"2023/03/7,bonchi0303,2022/8/02,HSP33966126",568IQRApwn48kR3,omairichannel
99,宇宙人ヴェーロルム,CosmosVelorum,"2023/03/7,hukushima_tomio,2022/12/5,senryuyama,0088_shin,2022/11/22,hossymemo",monmi_dayo,moon666Younyan
100,宇宙人クラテリス,CosmosCrater63,"2022/7/13,neontetora555",AwakenedJapane2,e_photo_studio
101,宇宙人サギッタリー,CosmosSagitarii,"2023/03/7,keika_mia,2022/9/16,0707Miyama11011,2022/9/16,teraoka_ganzan,2022/9/8,NjXFI343s9SzE3d,2022/7/28,wakannnaindesun",levinassien,OCSupertones
102,宇宙人グロシュラ,CosmosGro658,"2023/03/7,KashimaMashiko,2022/11/1,megumu09418486,ujikeshuta,2022/10/10,Caferoseclair,2022/10/7,ujikeshuta,2022/9/24,megumu09418486,2022/7/23,nsPHpUeM3jnlTD6,pipapipa_himori,fODxjjbnlquab0p",daicho_polaris,mita3_
103,宇宙人アルヘナ,CosmosAlhena735,"2023/03/8,SpiritLuca8,2022/8/02,waikenjoy2",umibouzu67,
